lower_bound_ip_address,upper_bound_ip_address,country
85458944.0,85721087,Turkey
85721088.0,85723135,Hungary
85723136.0,85725183,Italy
85725184.0,85729279,Russian Federation
85729280.0,85731327,Iran (ISLAMIC Republic Of)
85731328.0,85733375,Germany
85733376.0,85735423,United Kingdom
85735424.0,85737471,United Kingdom
85737472.0,85753855,Germany
85753856.0,85770239,Israel
85770240.0,85786623,Germany
85786624.0,85852159,Israel
85852160.0,85983231,United Arab Emirates
85983232.0,86015999,United Arab Emirates
86016000.0,86018047,Bulgaria
86018048.0,86020095,Slovenia
86020096.0,86022143,Russian Federation
86022144.0,86024191,United Kingdom
86024192.0,86026239,Germany
86026240.0,86028287,Moldova Republic of
86028288.0,86030335,Macedonia
86030336.0,86032383,Germany
86032384.0,86048767,Oman
86048768.0,86114303,Denmark
86114304.0,86147071,Kazakhstan
86147072.0,86155263,Spain
86155264.0,86157311,Palestinian Territory Occupied
86157312.0,86159359,Israel
86159360.0,86161407,Ukraine
86161408.0,86163455,Italy
86163456.0,86171647,Iran (ISLAMIC Republic Of)
86171648.0,86173695,Germany
86173696.0,86175743,Netherlands
86175744.0,86177791,Estonia
86177792.0,86179839,Liechtenstein
86179840.0,86212607,Russian Federation
86212608.0,86220799,Russian Federation
86220800.0,86222847,Russian Federation
86222848.0,86224895,Russian Federation
86224896.0,86226943,Netherlands
86226944.0,86228991,Sweden
86228992.0,86231039,Belgium
86231040.0,86233087,Spain
86233088.0,86235135,Romania
86235136.0,86237183,Spain
86237184.0,86245375,Germany
86245376.0,86376447,Oman
86376448.0,86409215,United Arab Emirates
86409216.0,86441983,Hungary
86441984.0,86474751,France
86474752.0,86482943,Croatia (LOCAL Name: Hrvatska)
86482944.0,86484991,Russian Federation
86484992.0,86487039,Netherlands
86487040.0,86489087,United Kingdom
86489088.0,86491135,Netherlands
86491136.0,86493183,Poland
86493184.0,86495231,Russian Federation
86495232.0,86497279,Spain
86497280.0,86499327,Netherlands
86499328.0,86501375,France
86501376.0,86503423,France
86503424.0,86505471,Germany
86505472.0,86507519,United Kingdom
86507520.0,86573055,Spain
86573056.0,86638591,Romania
86638592.0,86671359,Russian Federation
86671360.0,86673407,United Kingdom
86673408.0,86675455,Germany
86675456.0,86677503,Italy
86677504.0,86679551,France
86679552.0,86687743,Romania
86687744.0,86695935,Iraq
86695936.0,86704127,Saudi Arabia
86704128.0,86720511,Portugal
86720512.0,86736895,Bosnia and Herzegowina
86736896.0,86745087,Russian Federation
86745088.0,86753279,Croatia (LOCAL Name: Hrvatska)
86753280.0,86761471,Palestinian Territory Occupied
86761472.0,86763519,Czech Republic
86763520.0,86765567,Italy
86765568.0,86767615,Russian Federation
86767616.0,86769663,Italy
86769664.0,86773759,Russian Federation
86773760.0,86777855,United Kingdom
86777856.0,86779903,Azerbaijan
86779904.0,86781951,Russian Federation
86781952.0,86786047,Russian Federation
86786048.0,86788095,Norway
86788096.0,86790143,Netherlands
86790144.0,86794239,Turkey
86794240.0,86798335,Germany
86798336.0,86802431,Switzerland
86802432.0,86804479,Georgia
86804480.0,86806527,Denmark
86806528.0,86810623,Turkey
86810624.0,86812671,France
86812672.0,86814719,Russian Federation
86814720.0,86816767,Sweden
86816768.0,86818815,Estonia
86818816.0,86822911,Portugal
86822912.0,86824959,Austria
86824960.0,86827007,Latvia
86827008.0,86829055,United Kingdom
86829056.0,86831103,United Kingdom
86831104.0,86833151,Finland
86833152.0,86835199,United Kingdom
86835200.0,86837247,Germany
86837248.0,86839295,Spain
86839296.0,86843391,United Kingdom
86847488.0,86849535,United Kingdom
86849536.0,86851583,Czech Republic
86851584.0,86859775,Russian Federation
86859776.0,86863871,Germany
86863872.0,86865919,Estonia
86865920.0,86867967,Estonia
86867968.0,86872063,Jordan
86872064.0,86874111,United Kingdom
86874112.0,86876159,Norway
86876160.0,86880255,Spain
86880256.0,86882303,Germany
86882304.0,86884351,Lebanon
86884352.0,86900735,Russian Federation
86900736.0,87031807,Turkey
87031808.0,87293951,France
87293952.0,87359487,Iran (ISLAMIC Republic Of)
87359488.0,87361535,Spain
87361536.0,87363583,Czech Republic
87363584.0,87367679,Russian Federation
87367680.0,87375871,Iran (ISLAMIC Republic Of)
87375872.0,87384063,United Kingdom
87384064.0,87386111,United Arab Emirates
87386112.0,87388159,Switzerland
87388160.0,87390207,Ukraine
87390208.0,87392255,Russian Federation
87392256.0,87425023,Bulgaria
87425024.0,87556095,Greece
87556096.0,87558143,Spain
87558144.0,87560191,Italy
87560192.0,87562239,Germany
87562240.0,87564287,Ukraine
87564288.0,87566335,Hungary
87566336.0,87568383,France
87568384.0,87570431,United Kingdom
87570432.0,87572479,Spain
87572480.0,87588863,Moldova Republic of
87588864.0,87590911,United Kingdom
87590912.0,87592959,Russian Federation
87592960.0,87597055,Denmark
87597056.0,87599103,Spain
87599104.0,87601151,United Kingdom
87601152.0,87605247,Germany
87605248.0,87621631,Germany
87621632.0,87623679,Lebanon
87623680.0,87625727,Kyrgyzstan
87625728.0,87627775,Netherlands
87627776.0,87629823,Spain
87629824.0,87631871,Iran (ISLAMIC Republic Of)
87631872.0,87633919,Germany
87633920.0,87635967,Denmark
87635968.0,87638015,United Kingdom
87638016.0,87640063,Ukraine
87640064.0,87642111,Serbia
87642112.0,87646207,United Kingdom
87646208.0,87654399,France
87654400.0,87670783,Poland
87670784.0,87672831,Germany
87672832.0,87674879,Switzerland
87674880.0,87676927,United Arab Emirates
87676928.0,87678975,Russian Federation
87678976.0,87681023,Netherlands
87681024.0,87683071,Russian Federation
87683072.0,87685119,Sweden
87685120.0,87687167,Netherlands
87687168.0,87752703,Ukraine
87752704.0,87818239,Czech Republic
87818240.0,87883775,Poland
87883776.0,87885823,Italy
87885824.0,87887871,Russian Federation
87887872.0,87889919,Russian Federation
87889920.0,87891967,Iran (ISLAMIC Republic Of)
87891968.0,87900159,United Kingdom
87900160.0,87902207,Germany
87902208.0,87904255,Iran (ISLAMIC Republic Of)
87904256.0,87906303,Germany
87906304.0,87908351,Finland
87908352.0,87912447,Bulgaria
87912448.0,87914495,Ireland
87914496.0,87916543,United Kingdom
87916544.0,87932927,Germany
87932928.0,87934975,United Kingdom
87934976.0,87937023,Spain
87937024.0,87939071,Spain
87939072.0,87941119,Italy
87941120.0,87943167,Switzerland
87943168.0,87945215,Russian Federation
87945216.0,87947263,Hungary
87947264.0,87949311,Netherlands
87949312.0,87965695,United Kingdom
87965696.0,87967743,Germany
87967744.0,87969791,Germany
87969792.0,87973887,Germany
87973888.0,87982079,Germany
87982080.0,88014847,Russian Federation
88014848.0,88016895,Libyan Arab Jamahiriya
88016896.0,88018943,Iran (ISLAMIC Republic Of)
88018944.0,88020991,United Kingdom
88020992.0,88023039,France
88023040.0,88031231,Turkey
88031232.0,88047615,Kazakhstan
88047616.0,88049663,Russian Federation
88049664.0,88051711,Italy
88051712.0,88053759,United Kingdom
88053760.0,88055807,Russian Federation
88055808.0,88057855,Armenia
88057856.0,88059903,Italy
88059904.0,88061951,Germany
88061952.0,88063999,Poland
88064000.0,88080383,Hungary
88080384.0,88604671,United Kingdom
88604672.0,88866815,Russian Federation
88866816.0,88932351,Kazakhstan
88932352.0,88940543,Russian Federation
88940544.0,88948735,United Kingdom
88948736.0,88965119,Italy
88965120.0,88997887,Armenia
88997888.0,89063423,Germany
89063424.0,89079807,United Kingdom
89079808.0,89096191,Netherlands
89096192.0,89128959,Russian Federation
89128960.0,89260031,United Kingdom
89260032.0,89325567,Saudi Arabia
89325568.0,89327615,Netherlands
89327616.0,89329663,United Kingdom
89329664.0,89331711,Ukraine
89331712.0,89333759,Denmark
89333760.0,89337855,Romania
89337856.0,89339903,Spain
89339904.0,89341951,Finland
89341952.0,89350143,Spain
89350144.0,89352191,United Kingdom
89352192.0,89354239,Italy
89354240.0,89356287,United Arab Emirates
89356288.0,89358335,Italy
89358336.0,89374719,Germany
89374720.0,89382911,United Kingdom
89382912.0,89384959,Norway
89384960.0,89387007,France
89387008.0,89391103,Ireland
89391104.0,89653247,Italy
89653248.0,90177535,Italy
90177536.0,90439679,Italy
90439680.0,90456063,Germany
90456064.0,90472447,Russian Federation
90472448.0,90476543,Germany
90476544.0,90478591,France
90478592.0,90480639,United Kingdom
90480640.0,90482687,Yemen
90482688.0,90484735,United Kingdom
90484736.0,90488831,Norway
90488832.0,90497023,Belarus
90497024.0,90499071,Netherlands
90499072.0,90501119,Italy
90501120.0,90503167,United Kingdom
90503168.0,90505215,Israel
90505216.0,90521599,Russian Federation
90521600.0,90529791,Russian Federation
90529792.0,90533887,Netherlands
90533888.0,90537983,Russian Federation
90537984.0,90540031,Russian Federation
90540032.0,90542079,Russian Federation
90542080.0,90544127,United Kingdom
90544128.0,90546175,Russian Federation
90546176.0,90548223,Germany
90548224.0,90550271,Russian Federation
90550272.0,90554367,Russian Federation
90554368.0,90562559,Russian Federation
90562560.0,90570751,Russian Federation
90570752.0,90578943,Italy
90578944.0,90583039,Iran (ISLAMIC Republic Of)
90583040.0,90587135,Czech Republic
90587136.0,90589183,Poland
90589184.0,90591231,France
90591232.0,90595327,United Kingdom
90595328.0,90603519,Palestinian Territory Occupied
90603520.0,90605567,Spain
90605568.0,90607615,Netherlands
90607616.0,90609663,Switzerland
90609664.0,90611711,Russian Federation
90611712.0,90613759,Germany
90613760.0,90615807,United Kingdom
90615808.0,90617855,Slovenia
90617856.0,90619903,United Kingdom
90619904.0,90636287,Israel
90636288.0,90701823,Denmark
90701824.0,90705919,Turkey
90705920.0,90707967,Czech Republic
90707968.0,90710015,Italy
90710016.0,90718207,Ukraine
90718208.0,90720255,European Union
90720256.0,90722303,Iraq
90722304.0,90724351,Finland
90724352.0,90726399,Switzerland
90726400.0,90728447,France
90728448.0,90730495,Germany
90730496.0,90734591,Netherlands
90734592.0,90736639,Syrian Arab Republic
90736640.0,90738687,Netherlands
90738688.0,90740735,Germany
90740736.0,90742783,Netherlands
90742784.0,90750975,Bulgaria
90750976.0,90753023,France
90753024.0,90755071,Russian Federation
90755072.0,90757119,Poland
90757120.0,90759167,Austria
90759168.0,90761215,Netherlands
90761216.0,90763263,Kazakhstan
90763264.0,90765311,Israel
90765312.0,90767359,Poland
90767360.0,90832895,Ukraine
90832896.0,90898431,Romania
90898432.0,90963967,Romania
90963968.0,91226111,Saudi Arabia
91226112.0,92274687,Iran (ISLAMIC Republic Of)
92274688.0,92536831,Russian Federation
92536832.0,92602367,Netherlands
92602368.0,92604415,Bosnia and Herzegowina
92604416.0,92606463,Poland
92606464.0,92608511,United Kingdom
92608512.0,92610559,Palestinian Territory Occupied
92610560.0,92612607,Switzerland
92612608.0,92614655,United Kingdom
92614656.0,92618751,Italy
92635136.0,92643327,Bosnia and Herzegowina
92643328.0,92645375,Georgia
92645376.0,92647423,United Kingdom
92647424.0,92649471,United Kingdom
92649472.0,92651519,United Kingdom
92651520.0,92659711,Sweden
92659712.0,92663807,Azerbaijan
92663808.0,92665855,United Kingdom
92665856.0,92667903,Poland
92667904.0,92669951,Belgium
92669952.0,92671999,United Kingdom
92672000.0,92674047,Germany
92674048.0,92676095,Switzerland
92676096.0,92680191,Spain
92680192.0,92684287,Azerbaijan
92684288.0,92688383,Poland
92688384.0,92690431,Armenia
92690432.0,92692479,Ireland
92692480.0,92694527,France
92694528.0,92696575,Serbia
92696576.0,92698623,Spain
92698624.0,92700671,Italy
92700672.0,92717055,Iran (ISLAMIC Republic Of)
92717056.0,92719103,Sweden
92719104.0,92721151,Syrian Arab Republic
92721152.0,92723199,Poland
92723200.0,92725247,Russian Federation
92725248.0,92733439,Syrian Arab Republic
92733440.0,92798975,France
92798976.0,93323263,Russian Federation
93323264.0,93331455,Switzerland
93331456.0,93333503,Switzerland
93333504.0,93335551,Switzerland
93335552.0,93339647,Israel
93339648.0,93343743,Russian Federation
93343744.0,93347839,United Kingdom
93347840.0,93356031,Russian Federation
93356032.0,93358079,Iran (ISLAMIC Republic Of)
93358080.0,93360127,France
93360128.0,93362175,Spain
93362176.0,93364223,United Kingdom
93364224.0,93368319,Italy
93368320.0,93370367,United Kingdom
93370368.0,93372415,Italy
93372416.0,93388799,Greece
93388800.0,93396991,Switzerland
93396992.0,93405183,Switzerland
93405184.0,93413375,Switzerland
93413376.0,93415423,Switzerland
93415424.0,93417471,Czech Republic
93417472.0,93419519,Iran (ISLAMIC Republic Of)
93419520.0,93421567,Italy
93421568.0,93425663,Germany
93425664.0,93427711,Gibraltar
93427712.0,93429759,Norway
93429760.0,93431807,Russian Federation
93431808.0,93433855,Spain
93433856.0,93435903,Germany
93435904.0,93437951,Germany
93437952.0,93454335,Russian Federation
93454336.0,93585407,Germany
93585408.0,93618175,United Kingdom
93618176.0,93626367,United Kingdom
93626368.0,93634559,Switzerland
93634560.0,93650943,Hungary
93650944.0,93652991,Switzerland
93652992.0,93655039,United Kingdom
93655040.0,93659135,Switzerland
93659136.0,93667327,Switzerland
93667328.0,93675519,Bosnia and Herzegowina
93675520.0,93679615,Iraq
93679616.0,93681663,Luxembourg
93681664.0,93683711,Ukraine
93683712.0,93685759,Austria
93685760.0,93687807,Belgium
93687808.0,93689855,Russian Federation
93689856.0,93691903,United Kingdom
93691904.0,93693951,Poland
93693952.0,93695999,Ireland
93696000.0,93700095,France
93700096.0,93702143,Poland
93702144.0,93704191,Russian Federation
93704192.0,93708287,Ukraine
93708288.0,93712383,Germany
93712384.0,93714431,Hungary
93714432.0,93716479,United Kingdom
93716480.0,93749247,United Kingdom
93749248.0,93753343,Italy
93753344.0,93755391,Ireland
93755392.0,93757439,United Kingdom
93757440.0,93765631,United Kingdom
93765632.0,93782015,Sweden
93782016.0,93847551,United Kingdom
93847552.0,93880319,Georgia
93880320.0,93888511,Italy
93888512.0,93890559,Poland
93890560.0,93892607,Spain
93892608.0,93894655,United Kingdom
93894656.0,93896703,United States
93896704.0,93904895,United Kingdom
93904896.0,93906943,Latvia
93906944.0,93908991,Bosnia and Herzegowina
93908992.0,93911039,Italy
93911040.0,93913087,United Arab Emirates
93913088.0,93929471,Netherlands
93929472.0,93937663,United Kingdom
93937664.0,93939711,United Kingdom
93939712.0,93941759,Norway
93941760.0,93945855,Switzerland
93945856.0,93962239,Ukraine
93962240.0,93970431,United Kingdom
93970432.0,93972479,United Kingdom
93972480.0,93974527,Estonia
93974528.0,93976575,Switzerland
93976576.0,93978623,United Kingdom
93978624.0,94109695,Romania
94109696.0,94175231,Romania
94175232.0,94191615,Estonia
94191616.0,94193663,United Kingdom
94193664.0,94195711,Slovenia
94195712.0,94197759,Netherlands
94197760.0,94199807,Netherlands
94199808.0,94207999,Italy
94208000.0,94240767,Romania
94240768.0,94257151,Portugal
94257152.0,94261247,Italy
94261248.0,94263295,Spain
94263296.0,94265343,United Kingdom
94265344.0,94273535,Russian Federation
94273536.0,94289919,Germany
94289920.0,94291967,Norway
94291968.0,94294015,France
94294016.0,94296063,United Kingdom
94296064.0,94298111,Spain
94298112.0,94300159,United Kingdom
94300160.0,94302207,Russian Federation
94302208.0,94306303,France
94306304.0,94308351,Austria
94308352.0,94310399,Spain
94310400.0,94312447,Georgia
94312448.0,94314495,Germany
94314496.0,94316543,Netherlands
94316544.0,94318591,Ireland
94318592.0,94320639,Iran (ISLAMIC Republic Of)
94320640.0,94322687,Germany
94322688.0,94330879,Germany
94330880.0,94334975,Russian Federation
94334976.0,94337023,Russian Federation
94337024.0,94339071,United Kingdom
94339072.0,94355455,Spain
94355456.0,94357503,Netherlands
94357504.0,94359551,United Kingdom
94359552.0,94361599,United Kingdom
94361600.0,94363647,Portugal
94363648.0,94365695,United Kingdom
94365696.0,94367743,Hungary
94367744.0,94369791,Spain
94369792.0,94371839,Turkey
94371840.0,94502911,Iran (ISLAMIC Republic Of)
94502912.0,94568447,Oman
94568448.0,94633983,Romania
94633984.0,94896127,Russian Federation
94896128.0,95158271,Italy
95158272.0,95166463,Russian Federation
95166464.0,95168511,Serbia
95168512.0,95170559,Netherlands
95170560.0,95174655,United Kingdom
95174656.0,95191039,Italy
95191040.0,95195135,Switzerland
95195136.0,95197183,Portugal
95197184.0,95199231,United Kingdom
95199232.0,95203327,United Kingdom
95203328.0,95205375,France
95205376.0,95207423,Poland
95207424.0,95211519,Greece
95211520.0,95213567,Italy
95213568.0,95215615,Netherlands
95215616.0,95223807,Poland
95223808.0,95289343,Poland
95289344.0,95354879,Poland
95354880.0,95363071,Germany
95363072.0,95365119,Italy
95365120.0,95367167,Spain
95367168.0,95369215,Italy
95369216.0,95371263,United Kingdom
95371264.0,95375359,Italy
95375360.0,95377407,Netherlands
95377408.0,95379455,Russian Federation
95379456.0,95387647,Russian Federation
95387648.0,95420415,Germany
95420416.0,95551487,Turkey
95551488.0,95555583,Azerbaijan
95555584.0,95557631,United Kingdom
95557632.0,95559679,Russian Federation
95559680.0,95561727,Netherlands
95561728.0,95563775,Italy
95563776.0,95567871,Slovakia (SLOVAK Republic)
95567872.0,95569919,Netherlands
95569920.0,95571967,Sweden
95571968.0,95574015,Russian Federation
95574016.0,95576063,Italy
95576064.0,95580159,United Kingdom
95580160.0,95582207,Netherlands
95582208.0,95584255,Italy
95584256.0,95617023,Georgia
95617024.0,95625215,Latvia
95625216.0,95633407,Ireland
95633408.0,95635455,Ireland
95635456.0,95637503,United Kingdom
95637504.0,95641599,Denmark
95641600.0,95645695,United Kingdom
95645696.0,95647743,Sweden
95647744.0,95649791,France
95649792.0,95666175,Italy
95666176.0,95668223,France
95668224.0,95670271,Germany
95670272.0,95672319,Germany
95672320.0,95674367,Germany
95674368.0,95676415,Germany
95676416.0,95678463,Germany
95678464.0,95680511,Germany
95680512.0,95682559,Germany
95682560.0,95944703,Ukraine
95944704.0,96075775,Poland
96075776.0,96141311,Germany
96141312.0,96143359,Spain
96143360.0,96145407,Georgia
96145408.0,96149503,United Kingdom
96149504.0,96151551,Spain
96151552.0,96153599,Russian Federation
96153600.0,96155647,Poland
96155648.0,96157695,Switzerland
96157696.0,96165887,Russian Federation
96165888.0,96174079,France
96174080.0,96206847,Hungary
96206848.0,96337919,Russian Federation
96337920.0,96403455,Iran (ISLAMIC Republic Of)
96403456.0,96468991,Azerbaijan
96468992.0,96731135,Romania
96731136.0,96796671,Germany
96796672.0,96862207,Azerbaijan
96862208.0,96894975,United Kingdom
96894976.0,96897023,Czech Republic
96897024.0,96899071,United Kingdom
96899072.0,96903167,Austria
96903168.0,96911359,Iran (ISLAMIC Republic Of)
96911360.0,96919551,France
96919552.0,96923647,Italy
96923648.0,96925695,Jordan
96925696.0,96927743,Malta
96927744.0,96960511,United Kingdom
96960512.0,96964607,Germany
96964608.0,96968703,Netherlands
96968704.0,96972799,Lithuania
96972800.0,96974847,Germany
96974848.0,96976895,Russian Federation
96976896.0,96985087,Russian Federation
96985088.0,96987135,Spain
96987136.0,96989183,Ukraine
96989184.0,96993279,Germany
96993280.0,97001471,Netherlands
97001472.0,97009663,Russian Federation
97009664.0,97017855,Iran (ISLAMIC Republic Of)
97017856.0,97026047,Iran (ISLAMIC Republic Of)
97026048.0,97058815,Iran (ISLAMIC Republic Of)
97058816.0,97091583,Poland
97091584.0,97124351,Iran (ISLAMIC Republic Of)
97124352.0,97189887,Iran (ISLAMIC Republic Of)
97189888.0,97255423,Greece
97255424.0,97320959,Hungary
97320960.0,97386495,Spain
97386496.0,97419263,Russian Federation
97419264.0,97435647,Hungary
97435648.0,97437695,Denmark
97437696.0,97439743,Austria
97439744.0,97443839,Netherlands
97443840.0,97445887,Portugal
97445888.0,97447935,Serbia
97447936.0,97452031,Poland
97452032.0,97517567,Ukraine
97517568.0,98566143,Iran (ISLAMIC Republic Of)
98566144.0,98697215,Netherlands
98697216.0,98699263,France
98699264.0,98701311,France
98701312.0,98705407,Spain
98705408.0,98707455,Sweden
98707456.0,98709503,Netherlands
98709504.0,98711551,Iran (ISLAMIC Republic Of)
98711552.0,98713599,United Kingdom
98713600.0,98729983,Poland
98729984.0,98732031,Poland
98732032.0,98734079,United Kingdom
98734080.0,98736127,Switzerland
98736128.0,98738175,Russian Federation
98738176.0,98740223,Norway
98740224.0,98742271,Spain
98742272.0,98744319,United Kingdom
98744320.0,98746367,Spain
98746368.0,98762751,Turkey
98762752.0,98828287,Russian Federation
98828288.0,98893823,Russian Federation
98893824.0,98959359,Turkey
98959360.0,99090431,Germany
99090432.0,99614719,Iran (ISLAMIC Republic Of)
99614720.0,99876863,Sweden
99876864.0,100139007,Saudi Arabia
100139008.0,100204543,Ukraine
100204544.0,100237311,Portugal
100237312.0,100245503,Italy
100245504.0,100247551,Sweden
100247552.0,100249599,Switzerland
100249600.0,100253695,Slovenia
100253696.0,100261887,Russian Federation
100261888.0,100270079,Norway
100270080.0,100302847,Iran (ISLAMIC Republic Of)
